LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.7643908,36.6638018,421,COMBS COURT,,Marina,,,93933,,a6a54665abddcd8e
-121.7643615,36.6639404,423,COMBS COURT,,Marina,,,93933,,eb06dd23f89482e6
-121.7643623,36.6639415,424,COMBS COURT,,Marina,,,93933,,2861b82e7610c328
-121.8097979,36.6586863,0,2ND AVENUE,,Marina,,,93933,,a7ab3d55825305ba
-121.1294006,36.2198864,619,MAPLE STREET,,King City,,,93930,,555d117ca198f388
-121.6141994,36.7013499,1641,BEACON HILL DRIVE,,Salinas,,,93906,,bc43fc4776b1c800
-121.6585606,36.7180922,580,NORTHRIDGE MALL,,Salinas,,,93906,,39e54efdde460f10
-121.7967658,36.6890546,3188,SUSAN AVENUE,,Marina,,,93933,,e6da79764f36d128
-121.65931,36.7088646,1600,SEVILLE STREET,,Salinas,,,93906,,e9587ba6fe23e424
-121.6456109,36.7116768,219,MONTCLAIR LANE,,Salinas,,,93906,,ce3939be6a08f44c
-121.8102606,36.6626407,301,NINTH STREET,225,Marina,,,93933,,932fe00f6aa427e4
-121.8103267,36.6626347,301,NINTH STREET,224,Marina,,,93933,,11888839245dea88
-121.8104903,36.6626327,301,NINTH STREET,222,Marina,,,93933,,d9ef67459cae3148
-121.8106367,36.6626318,301,NINTH STREET,121,Marina,,,93933,,a4c0adf1c936b878
-121.6560285,36.7114356,1797,CHEROKEE DRIVE,C\A,Salinas,,,93906,,fcb0cf811b4063b6
-121.4339878,36.5052392,469,VENICE WAY,,Gonzales,,,93926,,d4d27ce4023491f0
-121.6460765,36.679898,29,SUN STREET,C3,Salinas,,,93901,,55c59405173318b8
-121.6200548,36.6843596,919,ACOSTA PLAZA,C\A,Salinas,,,93905,,90b3ce131385b96a
-121.442047,36.5085887,359,DAY STREET,,Gonzales,,,93926,,7717d0090fcbcaf8
-121.8104997,36.6628309,301,NINTH STREET,127,Marina,,,93933,,cf5d20f646dd8198
-121.8104248,36.663142,301,NINTH STREET,129,Marina,,,93933,,ab4b3aa5f8c3b216
