LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.7605692,36.6773894,3262,D,,Marina,,,93933,,9de9c58c5661cb67
-121.9117972,36.6159033,419,6TH STREET,,Pacific Grove,,,93950,,eab44e4ab30a0319
-121.6437053,36.6610633,863,LOS PALOS DRIVE,,Salinas,,,93901,,68ca8775a2b6fa9d
-121.6461331,36.7082169,1523,MCKINNON STREET,F,Salinas,,,93906,,5144bcf65099682b
-121.6461331,36.7082169,1503,MCKINNON STREET,F,Salinas,,,93906,,ebe336fa61f4122f
-121.6461331,36.7082169,1531,MCKINNON STREET,E,Salinas,,,93906,,cf8fde90e7a34e05
-121.6461331,36.7082169,1515,MCKINNON STREET,C,Salinas,,,93906,,e4d2c25090d3f1d7
-121.6461331,36.7082169,1511,MCKINNON STREET,C,Salinas,,,93906,,87e2d7c1ea5047ab
-121.6461331,36.7082169,1527,MCKINNON STREET,C\A,Salinas,,,93906,,628aeb7b997a0e89
-121.6461331,36.7082169,1511,MCKINNON STREET,E,Salinas,,,93906,,85eca750b24c6559
-121.6419315,36.6593287,725,E ROMIE LANE,E7,Salinas,,,93901,,17db9e6a4a5a0ebd
-121.7545576,36.5470741,12445,SADDLE ROAD,,Carmel Valley,,,93924,,5f11a53c759aac85
-121.643278,36.6668735,59,SPICER STREET,,Salinas,,,93901,,7a1572686a6f2855
-121.7754011,36.6695777,673,HORN COURT,,Marina,,,93933,,15c702c0f49a0b39
-121.8423345,36.5975441,1136,RICARDO COURT,,Seaside,,,93955,,9dd2810088fdbdab
-121.6374485,36.6763055,519,ROOSEVELT STREET,E,Salinas,,,93905,,e4cc71936b560485
-121.9572648,36.5999582,3049,CORMORANT ROAD,,Pebble Beach,,,93953,,d8b371ded4f7e437
-121.6507073,36.7149509,167,HARDEN PARKWAY,H,Salinas,,,93906,,28f46fabeb215423
-121.6727617,36.6991725,17070,EL RANCHO WAY,,Salinas,,,93907,,9ab6825785296459
-121.6635429,36.6715777,330,LORIMER STREET,,Salinas,,,93901,,b14b50b3216c28a7
-121.6021206,36.691029,1057,PASEO GRANDE,10,Salinas,,,93905,,22ac36115817fb11
-121.6530823,36.6648755,124,PINE STREET,,Salinas,,,93901,,1f6501d54817c609
